employee_id,job_function,department,seniority_level,hire_date
1,Director,Consulting,Lead,2015-01-01
2,Partner,Consulting,Executive,2015-01-02
3,Manager,Consulting,Junior,2015-01-03
4,Partner,Consulting,Executive,2015-01-04
5,Partner,Consulting,Lead,2015-01-05
6,Consultant,Tax,Junior,2015-01-06
7,Manager,Consulting,Lead,2015-01-07
8,Manager,Tax,Lead,2015-01-08
9,Manager,Consulting,Senior,2015-01-09
10,Partner,Advisory,Junior,2015-01-10
11,Director,Audit,Senior,2015-01-11
12,Manager,Tax,Junior,2015-01-12
13,Partner,Consulting,Lead,2015-01-13
14,Consultant,Advisory,Lead,2015-01-14
15,Director,Audit,Executive,2015-01-15
16,Consultant,Tax,Junior,2015-01-16
17,Director,Audit,Senior,2015-01-17
18,Partner,Advisory,Executive,2015-01-18
19,Analyst,Tax,Executive,2015-01-19
20,Director,Audit,Executive,2015-01-20
21,Consultant,Consulting,Senior,2015-01-21
22,Partner,Tax,Executive,2015-01-22
23,Director,Audit,Senior,2015-01-23
24,Analyst,Advisory,Executive,2015-01-24
25,Analyst,Advisory,Senior,2015-01-25
26,Manager,Tax,Lead,2015-01-26
27,Manager,Audit,Lead,2015-01-27
28,Consultant,Tax,Lead,2015-01-28
29,Director,Tax,Lead,2015-01-29
30,Director,Audit,Lead,2015-01-30
31,Manager,Audit,Executive,2015-01-31
32,Director,Consulting,Executive,2015-02-01
33,Director,Audit,Executive,2015-02-02
34,Analyst,Advisory,Senior,2015-02-03
35,Manager,Tax,Senior,2015-02-04
36,Partner,Tax,Senior,2015-02-05
37,Manager,Advisory,Senior,2015-02-06
38,Partner,Audit,Lead,2015-02-07
39,Analyst,Advisory,Lead,2015-02-08
40,Consultant,Advisory,Lead,2015-02-09
41,Director,Consulting,Junior,2015-02-10
42,Analyst,Advisory,Executive,2015-02-11
43,Director,Tax,Senior,2015-02-12
44,Consultant,Advisory,Senior,2015-02-13
45,Consultant,Tax,Lead,2015-02-14
46,Analyst,Tax,Senior,2015-02-15
47,Consultant,Tax,Senior,2015-02-16
48,Partner,Audit,Executive,2015-02-17
49,Consultant,Consulting,Lead,2015-02-18
50,Director,Tax,Executive,2015-02-19
51,Director,Tax,Junior,2015-02-20
52,Director,Audit,Junior,2015-02-21
53,Director,Tax,Junior,2015-02-22
54,Partner,Advisory,Lead,2015-02-23
55,Manager,Advisory,Senior,2015-02-24
56,Analyst,Consulting,Lead,2015-02-25
57,Director,Tax,Lead,2015-02-26
58,Consultant,Audit,Senior,2015-02-27
59,Director,Advisory,Executive,2015-02-28
60,Consultant,Audit,Junior,2015-03-01
61,Consultant,Audit,Executive,2015-03-02
62,Director,Advisory,Junior,2015-03-03
63,Partner,Audit,Lead,2015-03-04
64,Consultant,Advisory,Junior,2015-03-05
65,Consultant,Audit,Lead,2015-03-06
