completion_id,employee_id,program_id,completion_date,score,time_spent_hours
1,511,45,2024-01-01 00:00:00,80.00060891506688,3.4143633193792304
2,366,2,2024-01-01 01:00:00,87.21846412187132,13.947401224538972
3,383,49,2024-01-01 02:00:00,72.23570139012344,8.375788825209044
4,323,35,2024-01-01 03:00:00,87.56892096400213,11.383749524227744
5,989,32,2024-01-01 04:00:00,76.37806953402969,10.99846146770093
6,99,23,2024-01-01 05:00:00,93.75908099287534,12.508472808919874
7,743,24,2024-01-01 06:00:00,95.4520025328716,2.9964285289672254
8,18,24,2024-01-01 07:00:00,87.14540021278111,13.53089778966297
9,596,44,2024-01-01 08:00:00,97.46117418202348,12.616009727612767
10,107,18,2024-01-01 09:00:00,75.89690795326452,14.746273935717854
11,124,6,2024-01-01 10:00:00,93.26250884644531,15.906051339591276
12,570,37,2024-01-01 11:00:00,71.1140742768155,11.240396575497245
13,215,34,2024-01-01 12:00:00,91.89369146875798,15.123684900743093
14,738,42,2024-01-01 13:00:00,76.67769690394678,2.3958291220173247
15,97,49,2024-01-01 14:00:00,89.20963160511124,6.184898144994459
16,114,36,2024-01-01 15:00:00,89.74051641303458,18.6371901884878
17,639,9,2024-01-01 16:00:00,69.394583718988,5.279454187254972
18,48,28,2024-01-01 17:00:00,91.57675738627943,5.605824085805661
19,74,9,2024-01-01 18:00:00,72.48011791554765,3.5842395351628964
20,545,12,2024-01-01 19:00:00,78.46304586655383,5.163121883917427
21,943,9,2024-01-01 20:00:00,99.62109600598981,18.139409147523676
22,225,44,2024-01-01 21:00:00,79.99038193586787,7.13925197399589
23,112,38,2024-01-01 22:00:00,64.40910149301811,9.240894697105674
24,410,24,2024-01-01 23:00:00,68.22633538908505,11.068988320418175
25,340,48,2024-01-02 00:00:00,76.63041108544262,5.877749997034033
26,847,35,2024-01-02 01:00:00,83.29528699520964,7.732150365439267
27,254,19,2024-01-02 02:00:00,87.93086920418965,18.370024919031387
28,421,31,2024-01-02 03:00:00,61.18076273459317,9.175600746781864
29,609,41,2024-01-02 04:00:00,84.43171358712175,6.434812759757729
30,209,19,2024-01-02 05:00:00,69.11222051826724,5.0040638167934475
