usage_id,employee_id,tool_name,usage_date,minutes_used,tasks_completed
1,924,Copilot,2024-01-01 00:00:00,14,3
2,614,GitHub Copilot,2024-01-01 01:00:00,89,4
3,684,AWS CodeWhisperer,2024-01-01 02:00:00,143,3
4,602,AWS CodeWhisperer,2024-01-01 03:00:00,169,8
5,43,Tableau AI,2024-01-01 04:00:00,138,7
6,496,ChatGPT,2024-01-01 05:00:00,221,19
7,925,Tableau AI,2024-01-01 06:00:00,224,14
8,879,GitHub Copilot,2024-01-01 07:00:00,239,8
9,848,GitHub Copilot,2024-01-01 08:00:00,87,3
10,123,ChatGPT,2024-01-01 09:00:00,68,5
11,245,ChatGPT,2024-01-01 10:00:00,86,3
12,494,GitHub Copilot,2024-01-01 11:00:00,163,15
13,61,AWS CodeWhisperer,2024-01-01 12:00:00,212,13
14,46,Copilot,2024-01-01 13:00:00,234,2
15,422,GitHub Copilot,2024-01-01 14:00:00,71,11
16,221,Tableau AI,2024-01-01 15:00:00,198,15
17,680,Copilot,2024-01-01 16:00:00,40,4
18,466,ChatGPT,2024-01-01 17:00:00,25,9
19,780,AWS CodeWhisperer,2024-01-01 18:00:00,26,13
20,489,ChatGPT,2024-01-01 19:00:00,73,19
21,756,GitHub Copilot,2024-01-01 20:00:00,235,1
22,846,AWS CodeWhisperer,2024-01-01 21:00:00,159,7
23,198,Copilot,2024-01-01 22:00:00,205,7
24,995,GitHub Copilot,2024-01-01 23:00:00,130,9
25,207,Tableau AI,2024-01-02 00:00:00,103,5
26,85,Copilot,2024-01-02 01:00:00,158,16
27,803,GitHub Copilot,2024-01-02 02:00:00,50,8
28,835,Copilot,2024-01-02 03:00:00,189,5
29,876,ChatGPT,2024-01-02 04:00:00,112,1
30,105,GitHub Copilot,2024-01-02 05:00:00,24,18
31,517,GitHub Copilot,2024-01-02 06:00:00,50,15
32,265,GitHub Copilot,2024-01-02 07:00:00,235,16
33,726,Tableau AI,2024-01-02 08:00:00,156,17
34,319,Copilot,2024-01-02 09:00:00,85,10
